time;USER_CPU_Load;USER_SPEED_MEAS;USER_SPEED_REF;
1246,346;37,72117614746094;186,37521362304688;186;
1246,347;37,77411651611328;186,37521362304688;186;
1246,35;38,21529006958008;188,33705139160156;186;
1246,351;38,21529006958008;190,29888916015625;186;
1246,352;38,21529006958008;188,33705139160156;186;
1246,354;37,95058822631836;188,33705139160156;186;
1246,356;37,95058822631836;186,37521362304688;186;
1246,357;37,95058822631836;188,33705139160156;186;
1246,358;37,96823501586914;188,33705139160156;186;
1246,359;38,07411575317383;188,33705139160156;186;
1246,36;37,96823501586914;188,33705139160156;186;
1246,361;37,87999725341797;190,29888916015625;186;
1246,362;37,87999725341797;192,2607421875;186;
1246,364;37,87999725341797;190,29888916015625;186;
1246,365;37,33293914794922;190,29888916015625;186;
1246,367;37,438819885253906;188,33705139160156;186;
1246,369;37,77411651611328;188,33705139160156;186;
1246,371;37,77411651611328;186,37521362304688;186;
1246,372;37,77411651611328;188,33705139160156;186;
1246,373;38,21529006958008;188,33705139160156;186;
1246,374;38,27705764770508;190,29888916015625;186;
1246,375;38,21529006958008;190,29888916015625;186;
1246,377;37,95058822631836;190,29888916015625;186;
1246,378;37,95058822631836;188,33705139160156;186;
1246,38;37,96823501586914;188,33705139160156;186;
1246,382;36,74235153198242;186,37521362304688;186;
1246,383;38,03117752075195;184,41336059570312;186;
1246,384;37,94234848022461;186,37521362304688;186;
1246,385;38,05529022216797;186,37521362304688;186;
1246,386;37,95058822631836;186,37521362304688;186;
1246,387;37,96117401123047;186,37521362304688;186;
1246,388;37,41411590576172;188,33705139160156;186;
1246,389;37,417057037353516;188,33705139160156;186;
1246,39;37,523529052734375;188,33705139160156;186;
1246,391;37,417057037353516;188,33705139160156;186;
1246,392;37,86411666870117;188,33705139160156;186;
1246,393;37,85823440551758;188,33705139160156;186;
1246,394;37,96999740600586;186,37521362304688;186;
1246,395;37,85823440551758;188,33705139160156;186;
1246,396;38,29587936401367;188,33705139160156;186;
1246,397;38,29470443725586;188,33705139160156;186;
1246,398;38,28764724731445;190,29888916015625;186;
1246,399;38,12470245361328;190,29888916015625;186;
1246,4;38,017059326171875;192,2607421875;186;
1246,401;38,0158805847168;190,29888916015625;186;
1246,402;38,01411819458008;190,29888916015625;186;
1246,403;38,031761169433594;190,29888916015625;186;
1246,404;38,0323486328125;192,2607421875;186;
1246,405;38,0323486328125;190,29888916015625;186;
1246,406;38,023529052734375;190,29888916015625;186;
1246,407;38,026466369628906;190,29888916015625;186;
1246,408;38,13175964355469;190,29888916015625;186;
1246,409;38,0288200378418;188,33705139160156;186;
1246,41;38,03823471069336;188,33705139160156;186;
1246,411;37,495880126953125;188,33705139160156;186;
1246,412;37,604705810546875;188,33705139160156;186;
1246,413;37,49646759033203;186,37521362304688;186;
1246,414;37,925880432128906;188,33705139160156;186;
1246,415;37,923526763916016;188,33705139160156;186;
1246,416;37,925880432128906;188,33705139160156;186;
1246,417;37,9282341003418;186,37521362304688;186;
1246,418;38,37117385864258;186,37521362304688;186;
1246,419;38,37234878540039;188,33705139160156;186;
1246,42;38,37705612182617;186,37521362304688;186;
1246,421;38,478824615478516;186,37521362304688;186;
1246,422;38,10823440551758;186,37521362304688;186;
1246,423;38,09882354736328;186,37521362304688;186;
1246,424;38,10353088378906;186,37521362304688;186;
1246,425;38,11823272705078;186,37521362304688;186;
1246,426;38,13470458984375;186,37521362304688;186;
1246,427;38,158233642578125;188,33705139160156;186;
1246,428;38,162940979003906;188,33705139160156;186;
1246,429;38,16176223754883;192,2607421875;186;
1246,43;38,1817626953125;192,2607421875;186;
1246,431;38,07646942138672;192,2607421875;186;
1246,432;38,08176040649414;190,29888916015625;186;
1246,433;37,5223503112793;190,29888916015625;186;
1246,434;37,5194091796875;190,29888916015625;186;
1246,435;37,51764678955078;188,33705139160156;186;
1246,436;37,61823654174805;188,33705139160156;186;
1246,437;37,94940948486328;188,33705139160156;186;
1246,438;37,94117736816406;188,33705139160156;186;
1246,439;37,942352294921875;188,33705139160156;186;
1246,44;37,93705749511719;188,33705139160156;186;
1246,441;38,37058639526367;188,33705139160156;186;
1246,442;38,36823272705078;190,29888916015625;186;
1246,443;38,36705780029297;190,29888916015625;186;
1246,444;38,369407653808594;190,29888916015625;186;
1246,445;38,100589752197266;190,29888916015625;186;
1246,446;38,107059478759766;188,33705139160156;186;
1246,447;38,20470428466797;186,37521362304688;186;
