time;USER_CPU_Load;USER_SPEED_MEAS;USER_SPEED_REF;
1117,978;37,971763610839844;1722,499267578125;1716;
1117,979;38,148231506347656;1724,461181640625;1716;
1117,98;38,07823181152344;1728,3848876953125;1716;
1117,981;37,97235107421875;1724,461181640625;1716;
1117,982;38,16646957397461;1710,728271484375;1716;
1117,983;37,53058624267578;1710,728271484375;1716;
1117,984;38,148231506347656;1724,461181640625;1716;
1117,985;38,07823181152344;1730,3466796875;1716;
1117,986;37,97235107421875;1728,3848876953125;1716;
1117,987;38,16646957397461;1710,728271484375;1716;
1117,988;37,53117752075195;1710,728271484375;1716;
1117,989;38,14882278442383;1722,499267578125;1716;
1117,99;38,07823181152344;1730,3466796875;1716;
1117,991;38,41353225708008;1724,461181640625;1716;
1117,992;38,16587829589844;1706,8046875;1716;
1117,993;37,53058624267578;1710,728271484375;1716;
1117,994;38,148231506347656;1724,461181640625;1716;
1117,995;38,07823181152344;1730,3466796875;1716;
1117,996;38,412353515625;1722,499267578125;1716;
1117,997;38,16823196411133;1710,728271484375;1716;
1117,998;37,53117752075195;1710,728271484375;1716;
1117,999;38,149410247802734;1722,499267578125;1716;
1118;38,07999801635742;1728,3848876953125;1716;
1118,001;38,410587310791016;1726,4228515625;1716;
1118,002;38,16176223754883;1708,766357421875;1716;
1118,003;37,44411849975586;1710,728271484375;1716;
1118,004;38,061763763427734;1724,461181640625;1716;
1118,005;37,98823547363281;1728,3848876953125;1716;
1118,006;38,32353210449219;1724,461181640625;1716;
1118,007;38,07646942138672;1712,68994140625;1716;
1118,008;37,88235092163086;1720,53759765625;1716;
1118,009;38,07646942138672;1722,499267578125;1716;
1118,01;37,98823547363281;1726,4228515625;1716;
1118,011;38,32353210449219;1722,499267578125;1716;
1118,012;38,07646942138672;1710,728271484375;1716;
1118,013;37,88235092163086;1720,53759765625;1716;
1118,014;38,05882263183594;1724,461181640625;1716;
1118,015;37,98823547363281;1726,4228515625;1716;
1118,016;38,32353210449219;1718,5755615234375;1716;
1118,017;38,07646942138672;1710,728271484375;1716;
1118,018;37,44117736816406;1720,53759765625;1716;
1118,019;38,05882263183594;1724,461181640625;1716;
1118,02;37,98823547363281;1724,461181640625;1716;
1118,021;38,32353210449219;1714,6519775390625;1716;
1118,022;38,07646942138672;1710,728271484375;1716;
1118,023;37,88235092163086;1720,53759765625;1716;
1118,024;38,05882263183594;1726,4228515625;1716;
1118,025;37,98823547363281;1726,4228515625;1716;
1118,026;38,32353210449219;1714,6519775390625;1716;
1118,027;38,07646942138672;1710,728271484375;1716;
1118,028;37,88235092163086;1720,53759765625;1716;
1118,029;38,05882263183594;1730,3466796875;1716;
1118,03;37,98823547363281;1726,4228515625;1716;
1118,031;38,32353210449219;1708,766357421875;1716;
1118,032;38,07646942138672;1708,766357421875;1716;
1118,033;37,88235092163086;1722,499267578125;1716;
1118,034;38,05882263183594;1730,3466796875;1716;
1118,035;37,98823547363281;1726,4228515625;1716;
1118,036;38,32353210449219;1710,728271484375;1716;
1118,037;38,07646942138672;1708,766357421875;1716;
1118,038;37,88235092163086;1720,53759765625;1716;
1118,039;38,05882263183594;1732,3084716796875;1716;
1118,04;37,98823547363281;1730,3466796875;1716;
1118,041;38,32353210449219;1708,766357421875;1716;
1118,042;36,8476448059082;1708,766357421875;1716;
1118,043;37,945289611816406;1722,499267578125;1716;
1118,044;38,121177673339844;1726,4228515625;1716;
1118,045;37,51058578491211;1728,3848876953125;1716;
1118,046;38,39411926269531;1714,6519775390625;1716;
1118,047;38,15764617919922;1710,728271484375;1716;
1118,048;37,966468811035156;1722,499267578125;1716;
1118,049;38,142940521240234;1732,3084716796875;1716;
1118,05;37,5223503112793;1730,3466796875;1716;
1118,051;38,40764617919922;1714,6519775390625;1716;
1118,052;38,16646957397461;1714,6519775390625;1716;
1118,053;37,966468811035156;1722,499267578125;1716;
1118,054;38,14882278442383;1728,3848876953125;1716;
1118,055;37,525291442871094;1722,499267578125;1716;
1118,056;38,4058837890625;1714,6519775390625;1716;
1118,057;38,155879974365234;1710,728271484375;1716;
1118,058;37,955291748046875;1728,3848876953125;1716;
1118,059;38,12705993652344;1724,461181640625;1716;
1118,06;37,50764465332031;1722,499267578125;1716;
1118,061;38,388824462890625;1716,61376953125;1716;
1118,062;38,051761627197266;1720,53759765625;1716;
1118,063;37,94588088989258;1722,499267578125;1716;
1118,064;38,119998931884766;1724,461181640625;1716;
1118,065;37,50529479980469;1716,61376953125;1716;
1118,066;38,38176345825195;1714,6519775390625;1716;
1118,067;38,22235107421875;1716,61376953125;1716;
1118,068;38,02705764770508;1728,3848876953125;1716;
1118,069;38,207645416259766;1726,4228515625;1716;
1118,07;37,598819732666016;1716,61376953125;1716;
1118,071;38,4900016784668;1714,6519775390625;1716;
1118,072;38,15176010131836;1720,53759765625;1716;
1118,073;38,049407958984375;1724,461181640625;1716;
1118,074;38,209999084472656;1724,461181640625;1716;
1118,075;37,5941162109375;1714,6519775390625;1716;
1118,076;38,476470947265625;1716,61376953125;1716;
1118,077;38,14293670654297;1720,53759765625;1716;
1118,078;38,04235076904297;1728,3848876953125;1716;
1118,079;38,21940994262695;1726,4228515625;1716;
1118,08;37,60940933227539;1710,728271484375;1716;
1118,081;38,482940673828125;1712,68994140625;1716;
1118,082;38,148231506347656;1720,53759765625;1716;
1118,083;38,03058624267578;1730,3466796875;1716;
1118,084;38,21117401123047;1726,4228515625;1716;
1118,085;37,608821868896484;1712,68994140625;1716;
1118,086;38,492942810058594;1712,68994140625;1716;
1118,087;38,17234802246094;1720,53759765625;1716;
1118,088;38,072349548339844;1730,3466796875;1716;
1118,089;38,269996643066406;1724,461181640625;1716;
1118,09;37,634117126464844;1710,728271484375;1716;
1118,091;38,519412994384766;1712,68994140625;1716;
