time;USER_CPU_Load;USER_SPEED_AVR;USER_SPEED_MEAS;USER_SPEED_REF;
356,357;0,6150670647621155;188,87899780273438;172,9873504638672;186;
356,358;0,6141969561576843;189,9608154296875;210,77525329589844;186;
356,36;0,615373432636261;189,9608154296875;210,77525329589844;186;
356,361;0,610214352607727;189,9608154296875;210,77525329589844;186;
356,363;0,6110844612121582;189,150146484375;172,7884521484375;186;
356,364;0,6910915374755859;189,150146484375;172,7884521484375;186;
356,365;0,6138906478881836;189,150146484375;172,7884521484375;186;
356,366;0,615373432636261;190,1185302734375;223,5103302001953;186;
356,367;0,6141969561576843;190,1185302734375;223,5103302001953;186;
356,368;0,6904788017272949;190,1185302734375;223,5103302001953;186;
356,369;0,6113908290863037;190,1185302734375;223,5103302001953;186;
356,37;0,6099080443382263;189,50045776367188;162,22669982910156;186;
356,372;0,6946209669113159;189,50045776367188;162,22669982910156;186;
356,373;0,6138906478881836;189,50045776367188;162,22669982910156;186;
356,374;0,6141969561576843;187,89747619628906;210,11221313476562;186;
356,375;0,615373432636261;187,89747619628906;210,11221313476562;186;
356,376;0,6898661851882935;187,89747619628906;210,11221313476562;186;
356,377;0,610214352607727;187,89747619628906;210,11221313476562;186;
356,378;0,6110844612121582;189,88955688476562;181,47352600097656;186;
356,379;0,6901724934577942;189,88955688476562;181,47352600097656;186;
356,38;0,6138906478881836;189,88955688476562;181,47352600097656;186;
356,381;0,615373432636261;189,2878875732422;198,29490661621094;186;
356,382;0,6141969561576843;189,2878875732422;198,29490661621094;186;
356,383;0,6913979053497314;189,2878875732422;198,29490661621094;186;
356,384;0,6113908290863037;189,2878875732422;198,29490661621094;186;
356,385;0,6099080443382263;188,8233642578125;169,9310302734375;186;
356,387;0,6922680139541626;188,8233642578125;169,9310302734375;186;
356,388;0,6141969561576843;191,2678680419922;237,9303436279297;186;
356,39;0,6916553378105164;191,2678680419922;237,9303436279297;186;
356,391;0,610214352607727;191,2678680419922;237,9303436279297;186;
356,393;0,6110844612121582;188,92723083496094;158,58885192871094;186;
356,394;0,6910915374755859;188,92723083496094;158,58885192871094;186;
356,395;0,6138906478881836;188,92723083496094;158,58885192871094;186;
356,396;0,615373432636261;186,82081604003906;201,9590301513672;186;
356,397;0,6141969561576843;186,82081604003906;201,9590301513672;186;
356,399;0,6113908290863037;186,82081604003906;201,9590301513672;186;
356,4;0,6099080443382263;190,0283660888672;183,7759246826172;186;
356,402;0,6913489699363708;190,0283660888672;183,7759246826172;186;
356,403;0,6138906478881836;190,0283660888672;183,7759246826172;186;
356,404;0,6141969561576843;189,79214477539062;207,82403564453125;186;
356,405;0,615373432636261;189,79214477539062;207,82403564453125;186;
356,406;0,610214352607727;189,79214477539062;207,82403564453125;186;
356,408;0,6110844612121582;187,24635314941406;164,37818908691406;186;
356,409;0,6099080443382263;187,24635314941406;164,37818908691406;186;
356,41;0,6910915374755859;187,24635314941406;164,37818908691406;186;
356,411;0,615373432636261;190,04339599609375;226,54269409179688;186;
356,412;0,6141969561576843;190,04339599609375;226,54269409179688;186;
356,413;0,6904788017272949;190,04339599609375;226,54269409179688;186;
356,414;0,6113908290863037;190,04339599609375;226,54269409179688;186;
356,415;0,6099080443382263;190,0095977783203;169,7151336669922;186;
356,417;0,6922680139541626;190,0095977783203;169,7151336669922;186;
356,418;0,6138906478881836;190,0095977783203;169,7151336669922;186;
356,419;0,6141969561576843;186,84622192382812;203,42845153808594;186;
356,42;0,615373432636261;186,84622192382812;203,42845153808594;186;
356,421;0,6898661851882935;186,84622192382812;203,42845153808594;186;
356,422;0,610214352607727;186,84622192382812;203,42845153808594;186;
356,423;0,6110844612121582;189,51913452148438;175,38470458984375;186;
356,424;0,6099080443382263;189,51913452148438;175,38470458984375;186;
356,425;0,6901724934577942;189,51913452148438;175,38470458984375;186;
356,426;0,615373432636261;190,4422607421875;210,66445922851562;186;
356,427;0,6141969561576843;190,4422607421875;210,66445922851562;186;
356,428;0,6913979053497314;190,4422607421875;210,66445922851562;186;
356,429;0,6113908290863037;190,4422607421875;210,66445922851562;186;
356,43;0,610214352607727;190,4422607421875;210,66445922851562;186;
356,431;0,6099080443382263;188,44232177734375;169,8590087890625;186;
356,432;0,6922680139541626;188,44232177734375;169,8590087890625;186;
356,433;0,6138906478881836;188,44232177734375;169,8590087890625;186;
356,434;0,6141969561576843;189,94955444335938;223,46878051757812;186;
356,435;0,615373432636261;189,94955444335938;223,46878051757812;186;
356,436;0,6904788017272949;189,94955444335938;223,46878051757812;186;
356,437;0,610214352607727;189,94955444335938;223,46878051757812;186;
356,438;0,6110844612121582;190,20498657226562;165,92079162597656;186;
356,439;0,6099080443382263;190,20498657226562;165,92079162597656;186;
356,44;0,6138906478881836;190,20498657226562;165,92079162597656;186;
356,441;0,615373432636261;188,64930725097656;210,03878784179688;186;
356,442;0,6141969561576843;188,64930725097656;210,03878784179688;186;
356,444;0,6113908290863037;188,64930725097656;210,03878784179688;186;
356,445;0,610214352607727;188,64930725097656;210,03878784179688;186;
356,446;0,6099080443382263;189,40716552734375;174,7473907470703;186;
356,447;0,6913489699363708;189,40716552734375;174,7473907470703;186;
356,448;0,6138906478881836;189,40716552734375;174,7473907470703;186;
356,449;0,6141969561576843;189,463134765625;203,94606018066406;186;
356,45;0,615373432636261;189,463134765625;203,94606018066406;186;
356,451;0,6913979053497314;189,463134765625;203,94606018066406;186;
356,452;0,610214352607727;189,463134765625;203,94606018066406;186;
356,453;0,6110844612121582;189,20968627929688;173,66200256347656;186;
356,454;0,6099080443382263;189,20968627929688;173,66200256347656;186;
356,455;0,6910915374755859;189,20968627929688;173,66200256347656;186;
356,456;0,615373432636261;191,13864135742188;231,47132873535156;186;
356,457;0,6141969561576843;191,13864135742188;231,47132873535156;186;
356,458;0,6904788017272949;191,13864135742188;231,47132873535156;186;
356,459;0,6113908290863037;191,13864135742188;231,47132873535156;186;
356,46;0,610214352607727;191,13864135742188;231,47132873535156;186;
356,461;0,6099080443382263;189,3251495361328;159,0293731689453;186;
356,462;0,6922680139541626;189,3251495361328;159,0293731689453;186;
356,463;0,6138906478881836;189,3251495361328;159,0293731689453;186;
356,464;0,6141969561576843;187,56768798828125;205,3043212890625;186;
356,465;0,615373432636261;187,56768798828125;205,3043212890625;186;
356,466;0,6898661851882935;187,56768798828125;205,3043212890625;186;
356,467;0,610214352607727;187,56768798828125;205,3043212890625;186;
356,468;0,6110844612121582;190,2200469970703;184,08544921875;186;
356,469;0,6099080443382263;190,2200469970703;184,08544921875;186;
356,47;0,6901724934577942;190,2200469970703;184,08544921875;186;
356,471;0,6150670647621155;190,2200469970703;184,08544921875;186;
356,472;0,6141969561576843;189,3325958251953;201,68798828125;186;
356,474;0,6113908290863037;189,3325958251953;201,68798828125;186;
356,475;0,610214352607727;189,3325958251953;201,68798828125;186;
356,476;0,6099080443382263;188,15846252441406;167,05044555664062;186;
356,477;0,6110844612121582;188,15846252441406;167,05044555664062;186;
356,478;0,6910915374755859;188,15846252441406;167,05044555664062;186;
356,479;0,6141969561576843;191,29449462890625;237,74215698242188;186;
356,48;0,615373432636261;191,29449462890625;237,74215698242188;186;
356,481;0,6904788017272949;191,29449462890625;237,74215698242188;186;
356,482;0,610214352607727;191,29449462890625;237,74215698242188;186;
356,483;0,6110844612121582;189,6424560546875;163,32862854003906;186;
356,484;0,6099080443382263;189,6424560546875;163,32862854003906;186;
356,485;0,6910915374755859;189,6424560546875;163,32862854003906;186;
356,486;0,6150670647621155;189,6424560546875;163,32862854003906;186;
356,487;0,6141969561576843;186,83895874023438;201,8911895751953;186;
356,489;0,6910426020622253;186,83895874023438;201,8911895751953;186;
356,49;0,610214352607727;186,83895874023438;201,8911895751953;186;
356,491;0,6099080443382263;189,96832275390625;179,12127685546875;186;
356,492;0,6110844612121582;189,96832275390625;179,12127685546875;186;
356,493;0,6138906478881836;189,96832275390625;179,12127685546875;186;
356,494;0,6141969561576843;190,65365600585938;211,8896942138672;186;
356,495;0,615373432636261;190,65365600585938;211,8896942138672;186;
356,496;0,6913979053497314;190,65365600585938;211,8896942138672;186;
356,497;0,610214352607727;190,65365600585938;211,8896942138672;186;
356,498;0,6113908290863037;190,65365600585938;211,8896942138672;186;
356,499;0,6122609376907349;187,83509826660156;164,96461486816406;186;
356,5;0,6910915374755859;187,83509826660156;164,96461486816406;186;
356,501;0,6150670647621155;187,83509826660156;164,96461486816406;186;
356,502;0,6141969561576843;190,0509033203125;224,13536071777344;186;
356,504;0,6916553378105164;190,0509033203125;224,13536071777344;186;
356,505;0,610214352607727;190,0509033203125;224,13536071777344;186;
356,506;0,6099080443382263;190,52525329589844;170,02716064453125;186;
356,507;0,6110844612121582;190,52525329589844;170,02716064453125;186;
356,508;0,6138906478881836;190,52525329589844;170,02716064453125;186;
356,509;0,6141969561576843;187,45802307128906;204,362060546875;186;
356,51;0,615373432636261;187,45802307128906;204,362060546875;186;
356,511;0,6141969561576843;187,45802307128906;204,362060546875;186;
356,512;0,610214352607727;187,45802307128906;204,362060546875;186;
356,513;0,6113908290863037;187,45802307128906;204,362060546875;186;
356,514;0,6099080443382263;189,1427001953125;174,13992309570312;186;
356,515;0,6901724934577942;189,1427001953125;174,13992309570312;186;
356,516;0,6150670647621155;189,1427001953125;174,13992309570312;186;
356,517;0,6141969561576843;189,90455627441406;209,05270385742188;186;
356,519;0,6925743818283081;189,90455627441406;209,05270385742188;186;
356,52;0,610214352607727;189,90455627441406;209,05270385742188;186;
356,521;0,6099080443382263;189,07577514648438;173,3865203857422;186;
356,522;0,6110844612121582;189,07577514648438;173,3865203857422;186;
356,523;0,6910915374755859;189,07577514648438;173,3865203857422;186;
356,524;0,6141969561576843;190,72549438476562;229,7023468017578;186;
356,525;0,615373432636261;190,72549438476562;229,7023468017578;186;
356,526;0,6904788017272949;190,72549438476562;229,7023468017578;186;
356,527;0,610214352607727;190,72549438476562;229,7023468017578;186;
356,528;0,6113908290863037;190,72549438476562;229,7023468017578;186;
356,529;0,6099080443382263;189,88580322265625;160,06683349609375;186;
356,53;0,6910915374755859;189,88580322265625;160,06683349609375;186;
356,531;0,6150670647621155;189,88580322265625;160,06683349609375;186;
356,532;0,6141969561576843;188,60861206054688;210,66445922851562;186;
356,534;0,6910426020622253;188,60861206054688;210,66445922851562;186;
356,535;0,610214352607727;188,60861206054688;210,66445922851562;186;
356,536;0,6099080443382263;190,08470153808594;180,11416625976562;186;
356,537;0,6110844612121582;190,08470153808594;180,11416625976562;186;
356,538;0,6138906478881836;190,08470153808594;180,11416625976562;186;
356,54;0,615373432636261;189,4407501220703;198,55691528320312;186;
356,541;0,6141969561576843;189,4407501220703;198,55691528320312;186;
356,542;0,610214352607727;189,4407501220703;198,55691528320312;186;
356,543;0,6113908290863037;189,4407501220703;198,55691528320312;186;
356,544;0,6099080443382263;189,12783813476562;172,04666137695312;186;
356,546;0,6150670647621155;189,12783813476562;172,04666137695312;186;
356,547;0,6141969561576843;191,5612030029297;235,50677490234375;186;
356,549;0,6916553378105164;191,5612030029297;235,50677490234375;186;
356,55;0,610214352607727;191,5612030029297;235,50677490234375;186;
356,551;0,6099080443382263;189,4929962158203;160,68727111816406;186;
356,552;0,6110844612121582;189,4929962158203;160,68727111816406;186;
356,553;0,6910915374755859;189,4929962158203;160,68727111816406;186;
356,554;0,6138906478881836;189,4929962158203;160,68727111816406;186;
356,555;0,615373432636261;186,75189208984375;201,08079528808594;186;
356,556;0,6141969561576843;186,75189208984375;201,08079528808594;186;
356,557;0,6898661851882935;186,75189208984375;201,08079528808594;186;
356,558;0,6113908290863037;186,75189208984375;201,08079528808594;186;
356,559;0,6099080443382263;190,5177001953125;185,1627960205078;186;
356,56;0,6901724934577942;190,5177001953125;185,1627960205078;186;
356,561;0,6150670647621155;190,5177001953125;185,1627960205078;186;
356,562;0,6141969561576843;190,17491149902344;207,35806274414062;186;
356,564;0,6925743818283081;190,17491149902344;207,35806274414062;186;
356,565;0,610214352607727;190,17491149902344;207,35806274414062;186;
356,566;0,6099080443382263;187,6884765625;163,68441772460938;186;
356,567;0,6110844612121582;187,6884765625;163,68441772460938;186;
356,568;0,6910915374755859;187,6884765625;163,68441772460938;186;
356,569;0,6138906478881836;187,6884765625;163,68441772460938;186;
356,57;0,615373432636261;190,65365600585938;228,65386962890625;186;
356,571;0,6141969561576843;190,65365600585938;228,65386962890625;186;
356,572;0,6904788017272949;190,65365600585938;228,65386962890625;186;
356,573;0,6113908290863037;190,65365600585938;228,65386962890625;186;
356,574;0,6099080443382263;190,44602966308594;170,703125;186;
356,575;0,6910915374755859;190,44602966308594;170,703125;186;
356,576;0,6150670647621155;190,44602966308594;170,703125;186;
356,577;0,6141969561576843;187,3375244140625;202,29885864257812;186;
356,579;0,6910426020622253;187,3375244140625;202,29885864257812;186;
356,58;0,610214352607727;187,3375244140625;202,29885864257812;186;
356,581;0,6099080443382263;189,94580078125;177,40328979492188;186;
356,582;0,6110844612121582;189,94580078125;177,40328979492188;186;
356,583;0,6901724934577942;189,94580078125;177,40328979492188;186;
356,584;0,6138906478881836;189,94580078125;177,40328979492188;186;
356,585;0,615373432636261;190,91099548339844;210,07550048828125;186;
356,586;0,6141969561576843;190,91099548339844;210,07550048828125;186;
356,587;0,610214352607727;190,91099548339844;210,07550048828125;186;
